mean_Log_energy,mean_MFCC_0th_coef,mean_MFCC_1st_coef,mean_MFCC_2nd_coef,mean_MFCC_3rd_coef,mean_MFCC_4th_coef,mean_MFCC_5th_coef,mean_MFCC_6th_coef,mean_MFCC_7th_coef,mean_MFCC_8th_coef,mean_MFCC_9th_coef,mean_MFCC_10th_coef,mean_MFCC_11th_coef,mean_MFCC_12th_coef,mean_delta_log_energy,mean_0th_delta,mean_1st_delta,mean_2nd_delta,mean_3rd_delta,mean_4th_delta,mean_5th_delta,mean_6th_delta,mean_7th_delta,mean_8th_delta,mean_9th_delta,mean_10th_delta,mean_11th_delta,mean_12th_delta,mean_delta_delta_log_energy,mean_delta_delta_0th,mean_1st_delta_delta,mean_2nd_delta_delta,mean_3rd_delta_delta,mean_4th_delta_delta,mean_5th_delta_delta,mean_6th_delta_delta,mean_7th_delta_delta,mean_8th_delta_delta,mean_9th_delta_delta,mean_10th_delta_delta,mean_11th_delta_delta,mean_12th_delta_delta,std_Log_energy,std_MFCC_0th_coef,std_MFCC_1st_coef,std_MFCC_2nd_coef,std_MFCC_3rd_coef,std_MFCC_4th_coef,std_MFCC_5th_coef,std_MFCC_6th_coef,std_MFCC_7th_coef,std_MFCC_8th_coef,std_MFCC_9th_coef,std_MFCC_10th_coef,std_MFCC_11th_coef,std_MFCC_12th_coef,std_delta_log_energy,std_0th_delta,std_1st_delta,std_2nd_delta,std_3rd_delta,std_4th_delta,std_5th_delta,std_6th_delta,std_7th_delta,std_8th_delta,std_9th_delta,std_10th_delta,std_11th_delta,std_12th_delta,std_delta_delta_log_energy,std_delta_delta_0th,std_1st_delta_delta,std_2nd_delta_delta,std_3rd_delta_delta,std_4th_delta_delta,std_5th_delta_delta,std_6th_delta_delta,std_7th_delta_delta,std_8th_delta_delta,std_9th_delta_delta,std_10th_delta_delta,std_11th_delta_delta,std_12th_delta_delta,class
9.338,14.4753,4.7262,3.0062,-1.7587,-2.2904,0.5178,-1.072,-0.22014,0.73882,-1.3072,-0.66575,-1.5353,-0.97535,-0.0029508,-0.0051503,-0.0059737,0.0053807,0.0020715,-0.002426,0.0023496,0.0024242,-0.0025142,0.0050687,0.00030135,0.00077752,0.0024916,-0.0018561,-0.0001374,-0.00016379,0.00047584,0.00032502,-4.98E-5,0.0002758,-2.76E-5,0.00025776,0.00014233,0.00062446,0.00058336,0.00052123,-1.93E-5,-0.00013854,0.29772,0.74099,0.51258,0.50167,0.37997,0.28511,0.38196,0.26286,0.32676,0.40153,0.23997,0.20797,0.2758,0.25253,0.045133,0.078523,0.046107,0.051741,0.058807,0.04332,0.037811,0.039247,0.040451,0.032436,0.039119,0.03468,0.034094,0.031368,0.015685,0.02836,0.020733,0.024621,0.02689,0.022098,0.018663,0.018796,0.020446,0.015236,0.018274,0.016572,0.01661,0.015051,1
9.2174,13.8126,4.3417,3.8325,-1.8396,-2.5196,0.49,-1.5939,0.18847,0.42153,-1.1697,-0.60712,-1.3391,-0.82614,-0.010832,-0.012499,-0.0096881,9.74E-5,0.0033795,-0.00028794,0.0022507,0.0026516,0.0031674,0.00062536,-0.00028056,0.0024577,0.0029894,0.00040559,-0.00011164,-0.00065051,8.18E-5,0.00025073,-7.10E-6,-7.68E-5,0.00026762,0.00017283,0.00010093,5.93E-5,-0.00011393,1.72E-5,0.00038507,6.65E-5,0.57342,0.78847,0.49628,0.51766,0.28995,0.3436,0.3086,0.2606,0.23349,0.23537,0.24057,0.28338,0.27645,0.2533,0.064906,0.06912,0.051918,0.065954,0.037026,0.045798,0.048065,0.039011,0.035282,0.036074,0.03587,0.041522,0.038586,0.032203,0.01949,0.030902,0.023441,0.024965,0.017856,0.019755,0.023174,0.019495,0.017227,0.017433,0.016751,0.016949,0.016667,0.014959,1
10.385,14.1364,7.5078,1.6047,-0.72286,-1.7518,-0.48544,-2.9687,-1.1952,1.4283,0.0056289,0.13928,-0.69445,-0.73194,0.0004433,-0.008255,0.0018893,0.0029026,-0.0011056,-0.0010363,0.00036619,0.0011948,0.00068415,-0.0017811,-0.00054136,0.0015231,0.0023263,0.00051764,-1.88E-5,-0.0003735,9.47E-5,-8.01E-5,0.00025228,0.00015786,-5.67E-5,-0.00013018,-0.00047643,0.00015109,0.00010136,-8.01E-5,-0.00032609,-6.78E-5,0.10429,0.93173,0.8028,0.23092,0.19269,0.22342,0.41709,0.46719,0.21235,0.2644,0.26389,0.18723,0.17187,0.25115,0.020578,0.09869,0.089529,0.02817,0.035177,0.028025,0.043621,0.042688,0.035103,0.031869,0.037678,0.027502,0.025234,0.030997,0.0077242,0.051743,0.046582,0.014408,0.015804,0.014407,0.022107,0.023655,0.017349,0.017061,0.018456,0.012826,0.012336,0.014153,1
10.2669,14.4774,7.76,0.72048,-0.99284,-0.99756,-0.88049,-2.8914,-0.74146,1.0557,-0.22861,-0.12279,-0.59007,-0.45221,0.0027634,0.002607,-0.0096021,0.008297,-0.0002201,-0.0020267,-0.0056172,0.0042692,-0.0029158,-0.0069435,0.0024871,-0.00084058,-0.0015449,0.0060279,6.56E-5,0.00084816,-0.0010069,0.00019945,0.0002229,-9.22E-5,7.90E-5,0.00013014,-0.00025193,-0.00021074,7.22E-5,-6.31E-5,0.00013227,-2.53E-5,0.21678,0.63605,0.65791,0.38413,0.20288,0.21742,0.31633,0.33489,0.42554,0.30548,0.23825,0.15253,0.18037,0.28453,0.034632,0.087624,0.084707,0.041944,0.031511,0.03502,0.042858,0.050416,0.062411,0.038199,0.032609,0.020222,0.023322,0.030756,0.013745,0.046329,0.042901,0.018315,0.015805,0.016265,0.021695,0.026233,0.024981,0.016514,0.016145,0.010393,0.011426,0.014588,1
10.6189,14.634,8.0628,1.4756,-0.76915,-0.77755,-1.1332,-2.9155,-0.9714,0.80106,0.43487,0.083262,-0.41226,-0.80674,0.0021801,-0.0038516,0.0020488,-0.002895,0.0016303,0.0048676,-0.0051899,0.0013677,-0.0028882,0.00067953,0.00090243,-0.00066069,0.0036588,0.0033989,-6.30E-5,-0.00054739,0.00085467,-0.00038047,-0.00039999,-3.00E-5,0.00056918,-0.00036512,8.54E-6,0.00028328,-0.000345,0.00015951,-0.00027649,-0.00018406,0.13675,0.62351,0.61569,0.30673,0.25373,0.20605,0.32466,0.32925,0.20368,0.17179,0.18934,0.17066,0.21603,0.23555,0.025051,0.072885,0.071565,0.04235,0.040361,0.033266,0.042587,0.040655,0.023732,0.023334,0.030791,0.024342,0.023796,0.034829,0.0083954,0.042028,0.040992,0.019936,0.015812,0.01444,0.019805,0.02232,0.012482,0.012496,0.013297,0.011313,0.01254,0.018134,1
10.2806,15.7983,8.2131,1.1404,-0.50685,-1.034,-0.62675,-1.2538,-0.41223,1.4985,0.82021,-1.4141,-0.12672,0.54484,0.0017286,-0.0054164,0.0040766,-0.0031055,0.0077939,0.0070567,-0.0044162,5.85E-5,-0.0036572,-0.0035849,-0.0045684,-0.00041728,0.0018946,0.0080254,-9.49E-5,-0.00018397,0.00045503,-0.0002109,-0.0002999,-4.50E-5,0.00021209,-0.000108,-7.51E-5,0.00024333,0.00014067,-7.45E-5,2.96E-5,-0.00020127,0.21816,0.9524,0.54191,0.40607,0.40512,0.3745,0.31438,0.34933,0.26883,0.31943,0.31897,0.31555,0.22989,0.32669,0.033018,0.106,0.069214,0.05371,0.038723,0.036484,0.047811,0.028452,0.032881,0.037715,0.041319,0.035743,0.04146,0.031007,0.012863,0.046307,0.033807,0.022894,0.014648,0.017402,0.02126,0.011937,0.013754,0.015875,0.017336,0.016261,0.017759,0.012775,1
10.2374,15.7537,7.9928,1.3162,-0.30496,-0.41464,-0.90073,-0.80136,-0.43204,1.5803,0.87948,-1.3219,-0.0284,0.71539,0.0022246,0.0028835,9.07E-5,-0.001463,0.0032844,0.0031575,0.0023894,-0.0014903,-0.0041055,-0.0023225,0.0006787,9.05E-5,0.0048177,-0.00012838,-3.31E-5,-0.00014901,0.00029498,-0.00064803,9.66E-5,0.00024992,-0.00019275,0.00020892,-0.00041381,-0.00015773,0.00046745,-0.00035578,0.00036749,-1.72E-5,0.22596,0.83488,0.50984,0.2408,0.23687,0.35497,0.34316,0.28252,0.28414,0.2226,0.24248,0.28027,0.22548,0.20539,0.036656,0.1522,0.079532,0.041334,0.03649,0.041464,0.02853,0.038385,0.044042,0.026959,0.03152,0.048075,0.033093,0.028775,0.012184,0.055147,0.037629,0.016518,0.013606,0.017077,0.0083828,0.017245,0.016697,0.011861,0.013586,0.021562,0.013402,0.013495,1
10.1372,15.3424,7.9823,0.45448,-0.66248,-0.81113,-0.91019,-1.3711,-1.0357,1.5678,1.234,-0.8023,-0.56919,0.71911,-0.0025992,-0.0070008,-0.00061662,0.0028111,0.0026111,-0.0010384,0.0024399,0.0024313,-0.0041031,-0.0011732,0.0015609,0.0026033,3.86E-6,-0.0024253,-0.00029118,0.00068746,-0.0018272,0.00087845,0.00050996,0.00030142,-0.00043384,-4.97E-5,0.00044784,-0.00034414,-0.00011711,0.00036999,0.00013676,-5.77E-5,0.24847,0.8526,0.75906,0.32969,0.25829,0.27635,0.24988,0.26372,0.32413,0.28095,0.20548,0.25292,0.19131,0.20256,0.045134,0.13467,0.095121,0.049577,0.041647,0.040325,0.03474,0.035135,0.037352,0.039864,0.032059,0.025738,0.029111,0.022199,0.015793,0.052594,0.034636,0.018951,0.015353,0.015614,0.014539,0.013618,0.013234,0.017955,0.013248,0.011256,0.010968,0.011047,1
9.5502,15.6835,4.6268,1.4909,3.0083,-0.86812,-0.62589,-0.319,1.6874,0.075968,-0.36397,1.3464,-0.3363,0.11326,-0.0038059,-0.010786,-0.0044042,-0.0017117,0.0034536,0.0020893,-0.0013196,0.0035217,0.0025789,-0.00078435,-0.0014813,0.0019735,-0.00030758,-0.00076321,3.34E-5,0.00016446,-0.00019857,-7.98E-5,-0.00023486,0.00054177,0.00016618,0.00027428,-0.00040596,0.00018173,0.00036121,0.00017954,-0.00020922,-0.00020031,0.31495,0.83278,0.75957,0.34179,0.34761,0.33928,0.2691,0.30196,0.29239,0.22614,0.2255,0.20787,0.22327,0.20987,0.03584,0.093178,0.06702,0.046151,0.044917,0.045997,0.035088,0.042254,0.044068,0.031802,0.028612,0.024871,0.036982,0.027229,0.015924,0.042607,0.030922,0.025352,0.022726,0.023822,0.017683,0.020392,0.020542,0.016602,0.015278,0.013703,0.018524,0.014045,1
9.3773,16.9741,5.0214,1.2594,1.9919,-1.9116,-1.3788,0.23323,1.1016,0.081758,-0.5831,0.904,-0.3587,-0.41044,8.57E-5,0.0069992,-0.0048826,0.0011538,-0.00020391,0.000915,-0.000424,0.0014846,0.0043043,-0.0015026,-0.00068388,-0.0015876,0.00087551,-0.0010962,0.00028883,0.00086192,0.00056484,-0.00045529,-0.00033764,0.00028301,-0.00036503,0.00027248,0.00023301,-0.00026009,3.09E-5,-0.0008775,0.00010254,-5.62E-5,0.26789,0.80739,0.4567,0.40165,0.3442,0.30903,0.23359,0.24966,0.27508,0.27822,0.24879,0.23628,0.23688,0.22265,0.046321,0.10182,0.054494,0.061541,0.046418,0.045403,0.035976,0.033246,0.040118,0.040042,0.028858,0.040198,0.031237,0.031849,0.019663,0.051464,0.031177,0.026773,0.024563,0.019995,0.017123,0.017552,0.01926,0.019807,0.017999,0.018026,0.017454,0.017249,1
9.5274,16.391,5.4603,1.2099,2.2096,-1.2621,-1.1625,0.01602,1.4846,0.39812,-0.45646,1.0131,-0.2503,-0.11759,0.0032927,0.0067036,0.0041751,-6.66E-5,0.00021588,-0.0016128,-0.00082255,0.0024229,2.44E-5,0.001068,-0.00070013,0.0015832,-0.0036452,-0.0012328,0.0002452,0.00034897,0.00016941,-0.00018372,0.00044155,-3.44E-5,6.59E-5,0.0002105,-0.00052005,-0.00020984,0.00072615,-0.00035133,-8.62E-5,-0.00014571,0.20114,0.73143,0.44792,0.38727,0.34124,0.27358,0.20349,0.24985,0.21512,0.23407,0.23133,0.17768,0.19495,0.19322,0.030428,0.099648,0.054189,0.064396,0.051597,0.039817,0.02709,0.030029,0.028,0.027149,0.032941,0.02318,0.025958,0.025352,0.016631,0.060748,0.039745,0.032567,0.02721,0.018657,0.01573,0.016459,0.015467,0.016773,0.018224,0.013248,0.015197,0.01578,1
10.4226,15.2625,9.1985,1.0426,-1.7211,-0.19772,0.039771,-0.54426,-0.15936,0.31799,-0.10371,-0.48328,0.69117,0.95805,-0.0025954,-0.014435,0.0020286,0.0072249,0.0049209,-0.0033371,-0.0010586,0.0047154,-0.0016548,-0.003183,-0.0005479,0.0026898,0.00066615,-0.0025228,-2.10E-5,-0.0018407,0.002236,-0.0008501,-0.00017494,0.00025873,0.0001959,-0.00036083,0.00029095,-5.84E-5,-0.00028803,-0.00035439,0.0002974,0.00012163,0.16263,1.0973,0.70202,0.55329,0.30982,0.31577,0.30525,0.38797,0.30457,0.28715,0.23721,0.32932,0.20234,0.19126,0.030772,0.13102,0.089951,0.063254,0.041469,0.041586,0.043503,0.042208,0.031834,0.041236,0.034424,0.035579,0.02335,0.024478,0.013064,0.057961,0.046812,0.029495,0.018963,0.020797,0.020707,0.019124,0.016209,0.018367,0.016272,0.016778,0.011764,0.012295,1
